basic_model_750_19,"(1, 750, 750, 3)",38,19,11,1,4,1061818834,590427488680,1080000,3783932,9696,1080010,1,0
basic_model_75_5,"(1, 75, 75, 3)",12,5,2,1,1,9521525,7854328125,2160000,1397276,2924,2160100,1,0
basic_model_56_6,"(1, 56, 56, 3)",14,6,4,1,0,7699280,5414993920,40140800,1727954,4616,40141000,1,0
basic_model_224_25,"(1, 224, 224, 3)",44,25,13,1,2,242859442,276896377384,20000,10186147,12524,20100,0,0
basic_model_350_34,"(1, 350, 350, 3)",61,34,20,1,3,686030212,1185675937032,32000,16468974,18168,33000,0,1
basic_model_500_30,"(1, 500, 500, 3)",54,30,13,1,7,239358550,403183653952,24000,11917904,7716,24500,0,1
basic_model_620_15,"(1, 620, 620, 3)",28,15,8,1,1,914296088,505552116800,57600,2044128,4936,57800,0,0
basic_model_350_8,"(1, 350, 350, 3)",15,8,1,1,2,13437512,915056400,72000,287855,1324,72500,0,0
basic_model_112_11,"(1, 112, 112, 3)",22,11,5,1,2,5828752,3923637760,57600,4926334,5848,57800,0,0
basic_model_720_38,"(1, 720, 720, 3)",71,38,27,1,2,2033424400,1743034546944,165888000,13010759,17692,165888200,1,0
basic_model_200_50,"(1, 200, 200, 3)",82,50,23,1,5,44525606,21995386168,8000,10852587,16576,8010,1,0
basic_model_720_5,"(1, 720, 720, 3)",14,5,3,1,2,1158070626,171674448640,32000,333168,2272,32200,0,0
basic_model_64_12,"(1, 64, 64, 3)",26,12,6,1,4,2080610,1317820332,192000,7333932,9096,192500,1,0
basic_model_512_40,"(1, 512, 512, 3)",68,40,18,1,6,47478520,15917156000,128000,13926787,15272,128100,1,0
basic_model_224_44,"(1, 224, 224, 3)",77,44,24,1,5,58799150,98066414360,32000,14683973,20656,32500,0,1
basic_model_224_37,"(1, 224, 224, 3)",61,37,17,1,3,181109186,244198673504,240000,9004125,12936,240500,0,0
basic_model_150_34,"(1, 150, 150, 3)",61,34,16,1,7,87171688,158759460748,720,17955629,10940,730,0,1
basic_model_850_11,"(1, 850, 850, 3)",22,11,7,1,0,2149437908,1176576800000,1600,1630278,4696,1800,0,1
basic_model_56_47,"(1, 56, 56, 3)",82,47,26,1,5,11175884,10565011168,22400,22497869,28644,22500,0,1
basic_model_720_37,"(1, 720, 720, 3)",69,37,22,1,6,510740668,422923420128,32000,19183186,17416,33000,0,0
basic_model_820_24,"(1, 820, 820, 3)",41,24,12,1,1,2281370041,3170759535982,53660880,9600363,9480,53660890,1,0
basic_model_112_17,"(1, 112, 112, 3)",33,17,8,1,4,25374078,25571214384,1200,15046344,9488,1210,0,0
basic_model_800_12,"(1, 800, 800, 3)",23,12,4,1,3,446565356,138056655560,800,3430586,1136,900,0,1
basic_model_700_20,"(1, 700, 700, 3)",35,20,9,1,2,481455967,220299276058,14400,5621334,8492,14600,0,0
basic_model_850_16,"(1, 850, 850, 3)",34,16,12,1,2,1941432780,1506829203702,12098400,5982783,8460,12098500,1,0
basic_model_256_13,"(1, 256, 256, 3)",25,13,5,1,3,135107384,54848514304,1000,2093972,3824,1010,0,1
basic_model_90_9,"(1, 90, 90, 3)",21,9,5,1,3,19706896,14643507056,24000,5665168,3952,24500,0,1
basic_model_224_38,"(1, 224, 224, 3)",66,38,22,1,2,449193205,527520553656,165500,10888793,13916,166000,0,1
basic_model_331_13,"(1, 331, 331, 3)",27,13,6,1,4,300452478,365544120606,56000,4293495,4936,57000,0,1
basic_model_320_23,"(1, 320, 320, 3)",44,23,14,1,3,298643104,84243523392,5600,2499430,7992,5700,0,0
basic_model_600_42,"(1, 600, 600, 3)",71,42,19,1,6,140162512,79782663040,25600,12220341,14132,25700,1,0
basic_model_320_20,"(1, 320, 320, 3)",37,20,13,1,0,629248140,887853056000,1200,8674304,9112,1210,0,1
basic_model_600_36,"(1, 600, 600, 3)",63,36,21,1,2,4238479104,6361288555584,30000,17729502,15016,30100,0,0
basic_model_600_31,"(1, 600, 600, 3)",52,31,12,1,5,337941414,426431945716,33100,12481365,9088,33200,0,0
basic_model_75_12,"(1, 75, 75, 3)",24,12,5,1,3,5411083,1656063392,28000,1179843,2588,28500,0,1
