basic_model_750_19,"(1, 750, 750, 3)",1182067279570,4873638
basic_model_75_5,"(1, 75, 75, 3)",15725636940,3560300
basic_model_56_6,"(1, 56, 56, 3)",10997881289,41873570
basic_model_224_25,"(1, 224, 224, 3)",553982026301,10218771
basic_model_350_34,"(1, 350, 350, 3)",2371800824791,16520142
basic_model_500_30,"(1, 500, 500, 3)",806649304924,11950120
basic_model_620_15,"(1, 620, 620, 3)",1011693035146,2106864
basic_model_350_8,"(1, 350, 350, 3)",1845180578,361679
basic_model_112_11,"(1, 112, 112, 3)",7863446980,4989982
basic_model_720_38,"(1, 720, 720, 3)",3488151581640,178916651
basic_model_200_50,"(1, 200, 200, 3)",44048970931,10877173
basic_model_720_5,"(1, 720, 720, 3)",344972334560,367640
basic_model_64_12,"(1, 64, 64, 3)",2653071953,7535528
basic_model_512_40,"(1, 512, 512, 3)",31923893321,14070159
basic_model_224_44,"(1, 224, 224, 3)",196207469710,14737129
basic_model_224_37,"(1, 224, 224, 3)",488533571054,9257561
basic_model_150_34,"(1, 150, 150, 3)",317640094843,17967299
basic_model_850_11,"(1, 850, 850, 3)",2354461705456,1636774
basic_model_56_47,"(1, 56, 56, 3)",21183363411,22549013
basic_model_720_37,"(1, 720, 720, 3)",846513457492,19233602
basic_model_820_24,"(1, 820, 820, 3)",6343379044782,63270733
basic_model_112_17,"(1, 112, 112, 3)",51190739064,15057042
basic_model_800_12,"(1, 800, 800, 3)",276672551669,3432622
basic_model_700_20,"(1, 700, 700, 3)",441101878660,5644426
basic_model_850_16,"(1, 850, 850, 3)",3014982313275,18089743
basic_model_256_13,"(1, 256, 256, 3)",109798665152,2098806
basic_model_90_9,"(1, 90, 90, 3)",29315188460,5693620
basic_model_224_38,"(1, 224, 224, 3)",1055367714280,11068709
basic_model_331_13,"(1, 331, 331, 3)",731286999533,4355431
basic_model_320_23,"(1, 320, 320, 3)",168678951282,2513122
basic_model_600_42,"(1, 600, 600, 3)",159725668606,12260173
basic_model_320_20,"(1, 320, 320, 3)",1776131430777,8684626
basic_model_600_36,"(1, 600, 600, 3)",12726921345065,17774618
basic_model_600_31,"(1, 600, 600, 3)",853243940125,12523653
basic_model_75_12,"(1, 75, 75, 3)",3330331266,1210931
