Model name,input_shape,total_flops,total_params
EfficientNet-B1,"(1, 448, 448, 3)",4627428622,7794184
EfficientNet-B1,"(1, 480, 480, 3)",5309086382,7794184
EfficientNet-B1,"(1, 568, 568, 3)",7571331070,7794184
EfficientNet-B1,"(1, 600, 600, 3)",8437407518,7794184
EfficientNet-B1,"(1, 800, 800, 3)",14711262382,7794184
EfficientNet-B1,"(1, 896, 896, 3)",18448627342,7794184
EfficientNet-B1,"(1, 1024, 1024, 3)",24089932942,7794184
EfficientNet-B1,"(1, 1200, 1200, 3)",33399963806,7794184
EfficientNet-B1,"(1, 1600, 1600, 3)",58783962382,7794184
EfficientNet-B1,"(1, 1792, 1792, 3)",73733422222,7794184
EfficientNet-B1,"(1, 2400, 2400, 3)",132238462382,7794184
EfficientNet-B2,"(1, 32, 32, 3)",50814930,9109994
EfficientNet-B2,"(1, 56, 56, 3)",124735986,9109994
EfficientNet-B2,"(1, 64, 64, 3)",132279906,9109994
EfficientNet-B2,"(1, 75, 75, 3)",218400818,9109994
EfficientNet-B2,"(1, 112, 112, 3)",394571970,9109994
EfficientNet-B2,"(1, 128, 128, 3)",458139810,9109994
EfficientNet-B2,"(1, 150, 150, 3)",681785026,9109994
EfficientNet-B2,"(1, 224, 224, 3)",1354254546,9109994
EfficientNet-B2,"(1, 240, 240, 3)",1630205890,9109994
EfficientNet-B2,"(1, 256, 256, 3)",1761579426,9109994
EfficientNet-B2,"(1, 299, 299, 3)",2562121666,9109994
EfficientNet-B2,"(1, 320, 320, 3)",2739159138,9109994
EfficientNet-B2,"(1, 331, 331, 3)",3114178866,9109994
EfficientNet-B2,"(1, 448, 448, 3)",5346038370,9109994
EfficientNet-B2,"(1, 480, 480, 3)",6133533138,9109994
EfficientNet-B2,"(1, 568, 568, 3)",8749958642,9109994
EfficientNet-B2,"(1, 600, 600, 3)",9750669922,9109994
EfficientNet-B2,"(1, 800, 800, 3)",16995529938,9109994
EfficientNet-B2,"(1, 896, 896, 3)",21313173666,9109994
EfficientNet-B2,"(1, 1024, 1024, 3)",27830371746,9109994
EfficientNet-B2,"(1, 1200, 1200, 3)",38595552130,9109994
EfficientNet-B2,"(1, 1600, 1600, 3)",67911139938,9109994
EfficientNet-B2,"(1, 1792, 1792, 3)",85181714850,9109994
EfficientNet-B2,"(1, 2400, 2400, 3)",152770489938,9109994
EfficientNet-B3,"(1, 32, 32, 3)",70895514,12233232
EfficientNet-B3,"(1, 56, 56, 3)",178603506,12233232
EfficientNet-B3,"(1, 64, 64, 3)",189830706,12233232
EfficientNet-B3,"(1, 75, 75, 3)",311562714,12233232
EfficientNet-B3,"(1, 112, 112, 3)",568574274,12233232
EfficientNet-B3,"(1, 128, 128, 3)",665571474,12233232
EfficientNet-B3,"(1, 150, 150, 3)",991110986,12233232
EfficientNet-B3,"(1, 224, 224, 3)",1973858586,12233232
EfficientNet-B3,"(1, 240, 240, 3)",2368073666,12233232
EfficientNet-B3,"(1, 256, 256, 3)",2568534546,12233232
EfficientNet-B3,"(1, 299, 299, 3)",3722803442,12233232
EfficientNet-B3,"(1, 320, 320, 3)",3995756850,12233232
EfficientNet-B3,"(1, 331, 331, 3)",4527284058,12233232
EfficientNet-B3,"(1, 448, 448, 3)",7801682994,12233232
EfficientNet-B3,"(1, 480, 480, 3)",8951389850,12233232
EfficientNet-B3,"(1, 568, 568, 3)",12769218546,12233232
EfficientNet-B3,"(1, 600, 600, 3)",14230098074,12233232
EfficientNet-B3,"(1, 800, 800, 3)",24809415450,12233232
EfficientNet-B3,"(1, 896, 896, 3)",31112980626,12233232
EfficientNet-B3,"(1, 1024, 1024, 3)",40627795986,12233232
EfficientNet-B3,"(1, 1200, 1200, 3)",56302284386,12233232
EfficientNet-B3,"(1, 1600, 1600, 3)",99143910450,12233232
EfficientNet-B3,"(1, 1792, 1792, 3)",124358171154,12233232
EfficientNet-B3,"(1, 2400, 2400, 3)",223034735450,12233232
EfficientNet-B4,"(1, 32, 32, 3)",110320914,19341616
EfficientNet-B4,"(1, 56, 56, 3)",280344426,19341616
EfficientNet-B4,"(1, 64, 64, 3)",295821186,19341616
EfficientNet-B4,"(1, 75, 75, 3)",490171106,19341616
EfficientNet-B4,"(1, 112, 112, 3)",890312994,19341616
EfficientNet-B4,"(1, 128, 128, 3)",1037822274,19341616
EfficientNet-B4,"(1, 150, 150, 3)",1551858378,19341616
EfficientNet-B4,"(1, 224, 224, 3)",3078325266,19341616
EfficientNet-B4,"(1, 240, 240, 3)",3700974114,19341616
EfficientNet-B4,"(1, 256, 256, 3)",4005826626,19341616
EfficientNet-B4,"(1, 299, 299, 3)",5822582610,19341616
EfficientNet-B4,"(1, 320, 320, 3)",6231829890,19341616
EfficientNet-B4,"(1, 331, 331, 3)",7079023074,19341616
EfficientNet-B4,"(1, 448, 448, 3)",12167838594,19341616
EfficientNet-B4,"(1, 480, 480, 3)",13961007890,19341616
EfficientNet-B4,"(1, 568, 568, 3)",19934971754,19341616
EfficientNet-B4,"(1, 600, 600, 3)",22214554170,19341616
EfficientNet-B4,"(1, 800, 800, 3)",38694377490,19341616
EfficientNet-B4,"(1, 896, 896, 3)",48525891906,19341616
EfficientNet-B4,"(1, 1024, 1024, 3)",63365913666,19341616
EfficientNet-B4,"(1, 1200, 1200, 3)",87851024994,19341616
EfficientNet-B4,"(1, 1600, 1600, 3)",154632047490,19341616
EfficientNet-B4,"(1, 1792, 1792, 3)",193958105154,19341616
EfficientNet-B4,"(1, 2400, 2400, 3)",347861497490,19341616
MNASNet0.5,"(1, 32, 32, 3)",7947261,1400464
MNASNet0.5,"(1, 56, 56, 3)",18358989,1400464
MNASNet0.5,"(1, 64, 64, 3)",19917789,1400464
MNASNet0.5,"(1, 75, 75, 3)",31803981,1400464
MNASNet0.5,"(1, 112, 112, 3)",57749661,1400464
MNASNet0.5,"(1, 128, 128, 3)",67799901,1400464
MNASNet0.5,"(1, 150, 150, 3)",99388013,1400464
MNASNet0.5,"(1, 224, 224, 3)",199475709,1400464
MNASNet0.5,"(1, 240, 240, 3)",238557853,1400464
MNASNet0.5,"(1, 256, 256, 3)",259328349,1400464
MNASNet0.5,"(1, 299, 299, 3)",374155053,1400464
MNASNet0.5,"(1, 320, 320, 3)",402974685,1400464
MNASNet0.5,"(1, 331, 331, 3)",454983757,1400464
MNASNet0.5,"(1, 448, 448, 3)",786031581,1400464
MNASNet0.5,"(1, 480, 480, 3)",901746685,1400464
MNASNet0.5,"(1, 568, 568, 3)",1281913549,1400464
MNASNet0.5,"(1, 600, 600, 3)",1428718701,1400464
MNASNet0.5,"(1, 800, 800, 3)",2497817085,1400464
MNASNet0.5,"(1, 896, 896, 3)",3132255069,1400464
MNASNet0.5,"(1, 1024, 1024, 3)",4089897309,1400464
MNASNet0.5,"(1, 1200, 1200, 3)",5664598813,1400464
MNASNet0.5,"(1, 1600, 1600, 3)",9979397085,1400464
MNASNet0.5,"(1, 1792, 1792, 3)",12517149021,1400464
MNASNet0.5,"(1, 2400, 2400, 3)",22448697085,1400464
MNASNet0.35,"(1, 32, 32, 3)",4576477,807912
MNASNet0.35,"(1, 56, 56, 3)",10158685,807912
MNASNet0.35,"(1, 64, 64, 3)",11045965,807912
MNASNet0.35,"(1, 75, 75, 3)",17179645,807912
MNASNet0.35,"(1, 112, 112, 3)",31158157,807912
MNASNet0.35,"(1, 128, 128, 3)",36923917,807912
MNASNet0.35,"(1, 150, 150, 3)",53754861,807912
MNASNet0.35,"(1, 224, 224, 3)",108088285,807912
MNASNet0.35,"(1, 240, 240, 3)",128519821,807912
MNASNet0.35,"(1, 256, 256, 3)",140435725,807912
MNASNet0.35,"(1, 299, 299, 3)",201450221,807912
MNASNet0.35,"(1, 320, 320, 3)",218069581,807912
MNASNet0.35,"(1, 331, 331, 3)",245026557,807912
MNASNet0.35,"(1, 448, 448, 3)",425093197,807912
MNASNet0.35,"(1, 480, 480, 3)",487631581,807912
MNASNet0.35,"(1, 568, 568, 3)",692665949,807912
MNASNet0.35,"(1, 600, 600, 3)",771983085,807912
MNASNet0.35,"(1, 800, 800, 3)",1350229981,807912
MNASNet0.35,"(1, 896, 896, 3)",1693112845,807912
MNASNet0.35,"(1, 1024, 1024, 3)",2210671885,807912
MNASNet0.35,"(1, 1200, 1200, 3)",3058358221,807912
MNASNet0.35,"(1, 1600, 1600, 3)",5393659981,807912
MNASNet0.35,"(1, 1792, 1792, 3)",6765191437,807912
MNASNet0.35,"(1, 2400, 2400, 3)",12132709981,807912
MNASNet0.75,"(1, 32, 32, 3)",15589133,2653536
MNASNet0.75,"(1, 56, 56, 3)",38064845,2653536
MNASNet0.75,"(1, 64, 64, 3)",41238845,2653536
MNASNet0.75,"(1, 75, 75, 3)",66821957,2653536
MNASNet0.75,"(1, 112, 112, 3)",122514533,2653536
MNASNet0.75,"(1, 128, 128, 3)",143837693,2653536
MNASNet0.75,"(1, 150, 150, 3)",211925597,2653536
MNASNet0.75,"(1, 224, 224, 3)",425984525,2653536
MNASNet0.75,"(1, 240, 240, 3)",510165221,2653536
MNASNet0.75,"(1, 256, 256, 3)",554233085,2653536
MNASNet0.75,"(1, 299, 299, 3)",800667797,2653536
MNASNet0.75,"(1, 320, 320, 3)",862029629,2653536
MNASNet0.75,"(1, 331, 331, 3)",973902149,2653536
MNASNet0.75,"(1, 448, 448, 3)",1682820413,2653536
MNASNet0.75,"(1, 480, 480, 3)",1930767629,2653536
MNASNet0.75,"(1, 568, 568, 3)",2746949325,2653536
MNASNet0.75,"(1, 600, 600, 3)",3061602973,2653536
MNASNet0.75,"(1, 800, 800, 3)",5350729229,2653536
MNASNet0.75,"(1, 896, 896, 3)",6710163965,2653536
MNASNet0.75,"(1, 1024, 1024, 3)",8762140925,2653536
MNASNet0.75,"(1, 1200, 1200, 3)",12138447461,2653536
MNASNet0.75,"(1, 1600, 1600, 3)",21381799229,2653536
MNASNet0.75,"(1, 1792, 1792, 3)",26819538173,2653536
MNASNet0.75,"(1, 2400, 2400, 3)",48100249229,2653536
MNASNet1.0,"(1, 32, 32, 3)",23442589,4214096
MNASNet1.0,"(1, 56, 56, 3)",57823069,4214096
MNASNet1.0,"(1, 64, 64, 3)",61561309,4214096
MNASNet1.0,"(1, 75, 75, 3)",102286189,4214096
MNASNet1.0,"(1, 112, 112, 3)",185199229,4214096
MNASNet1.0,"(1, 128, 128, 3)",214036189,4214096
MNASNet1.0,"(1, 150, 150, 3)",317938461,4214096
MNASNet1.0,"(1, 224, 224, 3)",633342109,4214096
MNASNet1.0,"(1, 240, 240, 3)",764339325,4214096
MNASNet1.0,"(1, 256, 256, 3)",823935709,4214096
MNASNet1.0,"(1, 299, 299, 3)",1199960109,4214096
MNASNet1.0,"(1, 320, 320, 3)",1281360349,4214096
MNASNet1.0,"(1, 331, 331, 3)",1458420589,4214096
MNASNet1.0,"(1, 448, 448, 3)",2501159389,4214096
MNASNet1.0,"(1, 480, 480, 3)",2869640349,4214096
MNASNet1.0,"(1, 568, 568, 3)",4091920221,4214096
MNASNet1.0,"(1, 600, 600, 3)",4560057373,4214096
MNASNet1.0,"(1, 800, 800, 3)",7952136349,4214096
MNASNet1.0,"(1, 896, 896, 3)",9972428509,4214096
MNASNet1.0,"(1, 1024, 1024, 3)",13021926109,4214096
MNASNet1.0,"(1, 1200, 1200, 3)",18068254845,4214096
MNASNet1.0,"(1, 1600, 1600, 3)",31776336349,4214096
MNASNet1.0,"(1, 1792, 1792, 3)",39857504989,4214096
MNASNet1.0,"(1, 2400, 2400, 3)",71483336349,4214096
MNASNet1.4,"(1, 32, 32, 3)",42733213,7602928
MNASNet1.4,"(1, 56, 56, 3)",108805933,7602928
MNASNet1.4,"(1, 64, 64, 3)",115606813,7602928
MNASNet1.4,"(1, 75, 75, 3)",194445685,7602928
MNASNet1.4,"(1, 112, 112, 3)",353082373,7602928
MNASNet1.4,"(1, 128, 128, 3)",407101213,7602928
MNASNet1.4,"(1, 150, 150, 3)",606648109,7602928
MNASNet1.4,"(1, 224, 224, 3)",1208710813,7602928
MNASNet1.4,"(1, 240, 240, 3)",1461439877,7602928
MNASNet1.4,"(1, 256, 256, 3)",1573078813,7602928
MNASNet1.4,"(1, 299, 299, 3)",2295484821,7602928
MNASNet1.4,"(1, 320, 320, 3)",2447562013,7602928
MNASNet1.4,"(1, 331, 331, 3)",2789962869,7602928
MNASNet1.4,"(1, 448, 448, 3)",4779517213,7602928
MNASNet1.4,"(1, 480, 480, 3)",5483962013,7602928
MNASNet1.4,"(1, 568, 568, 3)",7823955757,7602928
MNASNet1.4,"(1, 600, 600, 3)",8719103021,7602928
MNASNet1.4,"(1, 800, 800, 3)",15200442013,7602928
MNASNet1.4,"(1, 896, 896, 3)",19062742813,7602928
MNASNet1.4,"(1, 1024, 1024, 3)",24892630813,7602928
MNASNet1.4,"(1, 1200, 1200, 3)",34551145157,7602928
MNASNet1.4,"(1, 1600, 1600, 3)",60746442013,7602928
MNASNet1.4,"(1, 1792, 1792, 3)",76195645213,7602928
MNASNet1.4,"(1, 2400, 2400, 3)",136656442013,7602928
ShuffleNet0.5-v1,"(1, 32, 32, 3)",8863814,1270780
ShuffleNet0.5-v1,"(1, 56, 56, 3)",24436010,1270780
ShuffleNet0.5-v1,"(1, 64, 64, 3)",26158070,1270780
ShuffleNet0.5-v1,"(1, 75, 75, 3)",41984282,1270780
ShuffleNet0.5-v1,"(1, 112, 112, 3)",77846654,1270780
ShuffleNet0.5-v1,"(1, 128, 128, 3)",95335094,1270780
ShuffleNet0.5-v1,"(1, 150, 150, 3)",142642658,1270780
ShuffleNet0.5-v1,"(1, 224, 224, 3)",285571910,1270780
ShuffleNet0.5-v1,"(1, 240, 240, 3)",335900414,1270780
ShuffleNet0.5-v1,"(1, 256, 256, 3)",372043190,1270780
ShuffleNet0.5-v1,"(1, 299, 299, 3)",533435690,1270780
ShuffleNet0.5-v1,"(1, 320, 320, 3)",579574262,1270780
ShuffleNet0.5-v1,"(1, 331, 331, 3)",649761050,1270780
ShuffleNet0.5-v1,"(1, 448, 448, 3)",1132990454,1270780
ShuffleNet0.5-v1,"(1, 480, 480, 3)",1300168262,1270780
ShuffleNet0.5-v1,"(1, 568, 568, 3)",1854461738,1270780
ShuffleNet0.5-v1,"(1, 600, 600, 3)",2066839130,1270780
ShuffleNet0.5-v1,"(1, 800, 800, 3)",3606069062,1270780
ShuffleNet0.5-v1,"(1, 896, 896, 3)",4522664630,1270780
ShuffleNet0.5-v1,"(1, 1024, 1024, 3)",5906205110,1270780
ShuffleNet0.5-v1,"(1, 1200, 1200, 3)",8151350654,1270780
ShuffleNet0.5-v1,"(1, 1600, 1600, 3)",14414979062,1270780
ShuffleNet0.5-v1,"(1, 1792, 1792, 3)",18081361334,1270780
ShuffleNet0.5-v1,"(1, 2400, 2400, 3)",32429829062,1270780
ShuffleNet1.0-v1,"(1, 32, 32, 3)",32215946,4396432
ShuffleNet1.0-v1,"(1, 56, 56, 3)",92753618,4396432
ShuffleNet1.0-v1,"(1, 64, 64, 3)",99152618,4396432
ShuffleNet1.0-v1,"(1, 75, 75, 3)",160861874,4396432
ShuffleNet1.0-v1,"(1, 112, 112, 3)",299574266,4396432
ShuffleNet1.0-v1,"(1, 128, 128, 3)",366899306,4396432
ShuffleNet1.0-v1,"(1, 150, 150, 3)",550876226,4396432
ShuffleNet1.0-v1,"(1, 224, 224, 3)",1103202698,4396432
ShuffleNet1.0-v1,"(1, 240, 240, 3)",1298747642,4396432
ShuffleNet1.0-v1,"(1, 256, 256, 3)",1437886058,4396432
ShuffleNet1.0-v1,"(1, 299, 299, 3)",2064221906,4396432
ShuffleNet1.0-v1,"(1, 320, 320, 3)",2241126122,4396432
ShuffleNet1.0-v1,"(1, 331, 331, 3)",2514628274,4396432
ShuffleNet1.0-v1,"(1, 448, 448, 3)",4383099626,4396432
ShuffleNet1.0-v1,"(1, 480, 480, 3)",5030154122,4396432
ShuffleNet1.0-v1,"(1, 568, 568, 3)",7178060498,4396432
ShuffleNet1.0-v1,"(1, 600, 600, 3)",8000199986,4396432
ShuffleNet1.0-v1,"(1, 800, 800, 3)",13955043722,4396432
ShuffleNet1.0-v1,"(1, 896, 896, 3)",17502687338,4396432
ShuffleNet1.0-v1,"(1, 1024, 1024, 3)",22857621098,4396432
ShuffleNet1.0-v1,"(1, 1200, 1200, 3)",31551016442,4396432
ShuffleNet1.0-v1,"(1, 1600, 1600, 3)",55790463722,4396432
ShuffleNet1.0-v1,"(1, 1792, 1792, 3)",69981038186,4396432
ShuffleNet1.0-v1,"(1, 2400, 2400, 3)",125516163722,4396432
ShuffleNet1.5-v1,"(1, 32, 32, 3)",70062542,9377956
ShuffleNet1.5-v1,"(1, 56, 56, 3)",204958970,9377956
ShuffleNet1.5-v1,"(1, 64, 64, 3)",218989790,9377956
ShuffleNet1.5-v1,"(1, 75, 75, 3)",356638922,9377956
ShuffleNet1.5-v1,"(1, 112, 112, 3)",665188982,9377956
ShuffleNet1.5-v1,"(1, 128, 128, 3)",814698782,9377956
ShuffleNet1.5-v1,"(1, 150, 150, 3)",1224706850,9377956
ShuffleNet1.5-v1,"(1, 224, 224, 3)",2452898510,9377956
ShuffleNet1.5-v1,"(1, 240, 240, 3)",2888547830,9377956
ShuffleNet1.5-v1,"(1, 256, 256, 3)",3197534750,9377956
ShuffleNet1.5-v1,"(1, 299, 299, 3)",4592364794,9377956
ShuffleNet1.5-v1,"(1, 320, 320, 3)",4984661726,9377956
ShuffleNet1.5-v1,"(1, 331, 331, 3)",5594607818,9377956
ShuffleNet1.5-v1,"(1, 448, 448, 3)",9750333662,9377956
ShuffleNet1.5-v1,"(1, 480, 480, 3)",11189963726,9377956
ShuffleNet1.5-v1,"(1, 568, 568, 3)",15970802426,9377956
ShuffleNet1.5-v1,"(1, 600, 600, 3)",17800088714,9377956
ShuffleNet1.5-v1,"(1, 800, 800, 3)",31046930126,9377956
ShuffleNet1.5-v1,"(1, 896, 896, 3)",38940074270,9377956
ShuffleNet1.5-v1,"(1, 1024, 1024, 3)",50854254110,9377956
ShuffleNet1.5-v1,"(1, 1200, 1200, 3)",70199003510,9377956
ShuffleNet1.5-v1,"(1, 1600, 1600, 3)",124126460126,9377956
ShuffleNet1.5-v1,"(1, 1792, 1792, 3)",155699036702,9377956
ShuffleNet1.5-v1,"(1, 2400, 2400, 3)",279259010126,9377956
ShuffleNet2.0-v1,"(1, 32, 32, 3)",122403602,16215352
ShuffleNet2.0-v1,"(1, 56, 56, 3)",361052066,16215352
ShuffleNet2.0-v1,"(1, 64, 64, 3)",385669586,16215352
ShuffleNet2.0-v1,"(1, 75, 75, 3)",629315426,16215352
ShuffleNet2.0-v1,"(1, 112, 112, 3)",1174690802,16215352
ShuffleNet2.0-v1,"(1, 128, 128, 3)",1438733522,16215352
ShuffleNet2.0-v1,"(1, 150, 150, 3)",2164134530,16215352
ShuffleNet2.0-v1,"(1, 224, 224, 3)",4334659346,16215352
ShuffleNet2.0-v1,"(1, 240, 240, 3)",5105300978,16215352
ShuffleNet2.0-v1,"(1, 256, 256, 3)",5650989266,16215352
ShuffleNet2.0-v1,"(1, 299, 299, 3)",8117864354,16215352
ShuffleNet2.0-v1,"(1, 320, 320, 3)",8810181074,16215352
ShuffleNet2.0-v1,"(1, 331, 331, 3)",9889699682,16215352
ShuffleNet2.0-v1,"(1, 448, 448, 3)",17234692562,16215352
ShuffleNet2.0-v1,"(1, 480, 480, 3)",19779597074,16215352
ShuffleNet2.0-v1,"(1, 568, 568, 3)",28232687522,16215352
ShuffleNet2.0-v1,"(1, 600, 600, 3)",31466505314,16215352
ShuffleNet2.0-v1,"(1, 800, 800, 3)",54881728274,16215352
ShuffleNet2.0-v1,"(1, 896, 896, 3)",68834825426,16215352
ShuffleNet2.0-v1,"(1, 1024, 1024, 3)",89896104146,16215352
ShuffleNet2.0-v1,"(1, 1200, 1200, 3)",124095311858,16215352
ShuffleNet2.0-v1,"(1, 1600, 1600, 3)",219422968274,16215352
ShuffleNet2.0-v1,"(1, 1792, 1792, 3)",275235356882,16215352
ShuffleNet2.0-v1,"(1, 2400, 2400, 3)",493658368274,16215352
ShuffleNet0.5-v2,"(1, 32, 32, 3)",12241003,2296774
ShuffleNet0.5-v2,"(1, 56, 56, 3)",27680227,2296774
ShuffleNet0.5-v2,"(1, 64, 64, 3)",29138467,2296774
ShuffleNet0.5-v2,"(1, 75, 75, 3)",46699749,2296774
ShuffleNet0.5-v2,"(1, 112, 112, 3)",82492903,2296774
ShuffleNet0.5-v2,"(1, 128, 128, 3)",96728323,2296774
ShuffleNet0.5-v2,"(1, 150, 150, 3)",143531443,2296774
ShuffleNet0.5-v2,"(1, 224, 224, 3)",282600427,2296774
ShuffleNet0.5-v2,"(1, 240, 240, 3)",337667879,2296774
ShuffleNet0.5-v2,"(1, 256, 256, 3)",367087747,2296774
ShuffleNet0.5-v2,"(1, 299, 299, 3)",532218573,2296774
ShuffleNet0.5-v2,"(1, 320, 320, 3)",569857315,2296774
ShuffleNet0.5-v2,"(1, 331, 331, 3)",646638309,2296774
ShuffleNet0.5-v2,"(1, 448, 448, 3)",1110576163,2296774
ShuffleNet0.5-v2,"(1, 480, 480, 3)",1273918315,2296774
ShuffleNet0.5-v2,"(1, 568, 568, 3)",1817632739,2296774
ShuffleNet0.5-v2,"(1, 600, 600, 3)",2025257067,2296774
ShuffleNet0.5-v2,"(1, 800, 800, 3)",3526913515,2296774
ShuffleNet0.5-v2,"(1, 896, 896, 3)",4422479107,2296774
ShuffleNet0.5-v2,"(1, 1024, 1024, 3)",5774276227,2296774
ShuffleNet0.5-v2,"(1, 1200, 1200, 3)",7996617959,2296774
ShuffleNet0.5-v2,"(1, 1600, 1600, 3)",14087828515,2296774
ShuffleNet0.5-v2,"(1, 1792, 1792, 3)",17670090883,2296774
ShuffleNet0.5-v2,"(1, 2400, 2400, 3)",31689353515,2296774
ShuffleNet1.0-v2,"(1, 32, 32, 3)",31950513,5043740
ShuffleNet1.0-v2,"(1, 56, 56, 3)",86254641,5043740
ShuffleNet1.0-v2,"(1, 64, 64, 3)",91600161,5043740
ShuffleNet1.0-v2,"(1, 75, 75, 3)",150738885,5043740
ShuffleNet1.0-v2,"(1, 112, 112, 3)",275864553,5043740
ShuffleNet1.0-v2,"(1, 128, 128, 3)",330198753,5043740
ShuffleNet1.0-v2,"(1, 150, 150, 3)",495053649,5043740
ShuffleNet1.0-v2,"(1, 224, 224, 3)",986344881,5043740
ShuffleNet1.0-v2,"(1, 240, 240, 3)",1172302441,5043740
ShuffleNet1.0-v2,"(1, 256, 256, 3)",1284593121,5043740
ShuffleNet1.0-v2,"(1, 299, 299, 3)",1857446293,5043740
ShuffleNet1.0-v2,"(1, 320, 320, 3)",2000388897,5043740
ShuffleNet1.0-v2,"(1, 331, 331, 3)",2260327365,5043740
ShuffleNet1.0-v2,"(1, 448, 448, 3)",3909177633,5043740
ShuffleNet1.0-v2,"(1, 480, 480, 3)",4485790897,5043740
ShuffleNet1.0-v2,"(1, 568, 568, 3)",6403268657,5043740
ShuffleNet1.0-v2,"(1, 600, 600, 3)",7136096705,5043740
ShuffleNet1.0-v2,"(1, 800, 800, 3)",12439077297,5043740
ShuffleNet1.0-v2,"(1, 896, 896, 3)",15600508641,5043740
ShuffleNet1.0-v2,"(1, 1024, 1024, 3)",20372480481,5043740
ShuffleNet1.0-v2,"(1, 1200, 1200, 3)",28176466921,5043740
ShuffleNet1.0-v2,"(1, 1600, 1600, 3)",49720107297,5043740
ShuffleNet1.0-v2,"(1, 1792, 1792, 3)",62365832673,5043740
ShuffleNet1.0-v2,"(1, 2400, 2400, 3)",111855157297,5043740
ShuffleNet1.5-v2,"(1, 32, 32, 3)",63231719,9266922
ShuffleNet1.5-v2,"(1, 56, 56, 3)",179829503,9266922
ShuffleNet1.5-v2,"(1, 64, 64, 3)",191491343,9266922
ShuffleNet1.5-v2,"(1, 75, 75, 3)",316228789,9266922
ShuffleNet1.5-v2,"(1, 112, 112, 3)",584233499,9266922
ShuffleNet1.5-v2,"(1, 128, 128, 3)",704529839,9266922
ShuffleNet1.5-v2,"(1, 150, 150, 3)",1058694383,9266922
ShuffleNet1.5-v2,"(1, 224, 224, 3)",2115385703,9266922
ShuffleNet1.5-v2,"(1, 240, 240, 3)",2508071387,9266922
ShuffleNet1.5-v2,"(1, 256, 256, 3)",2756683823,9266922
ShuffleNet1.5-v2,"(1, 299, 299, 3)",3979887725,9266922
ShuffleNet1.5-v2,"(1, 320, 320, 3)",4295799311,9266922
ShuffleNet1.5-v2,"(1, 331, 331, 3)",4845293237,9266922
ShuffleNet1.5-v2,"(1, 448, 448, 3)",8400107279,9266922
ShuffleNet1.5-v2,"(1, 480, 480, 3)",9639950311,9266922
ShuffleNet1.5-v2,"(1, 568, 568, 3)",13761341695,9266922
ShuffleNet1.5-v2,"(1, 600, 600, 3)",15336990743,9266922
ShuffleNet1.5-v2,"(1, 800, 800, 3)",26741233511,9266922
ShuffleNet1.5-v2,"(1, 896, 896, 3)",33538993583,9266922
ShuffleNet1.5-v2,"(1, 1024, 1024, 3)",43799763503,9266922
ShuffleNet1.5-v2,"(1, 1200, 1200, 3)",60545127707,9266922
ShuffleNet1.5-v2,"(1, 1600, 1600, 3)",106903498511,9266922
ShuffleNet1.5-v2,"(1, 1792, 1792, 3)",134094538799,9266922
ShuffleNet1.5-v2,"(1, 2400, 2400, 3)",240507273511,9266922
ShuffleNet2.0-v2,"(1, 32, 32, 3)",106084621,14966320
ShuffleNet2.0-v2,"(1, 56, 56, 3)",308404813,14966320
ShuffleNet2.0-v2,"(1, 64, 64, 3)",328812013,14966320
ShuffleNet2.0-v2,"(1, 75, 75, 3)",543169461,14966320
ShuffleNet2.0-v2,"(1, 112, 112, 3)",1007599741,14966320
ShuffleNet2.0-v2,"(1, 128, 128, 3)",1219721581,14966320
ShuffleNet2.0-v2,"(1, 150, 150, 3)",1834453645,14966320
ShuffleNet2.0-v2,"(1, 224, 224, 3)",3669722893,14966320
ShuffleNet2.0-v2,"(1, 240, 240, 3)",4344974717,14966320
ShuffleNet2.0-v2,"(1, 256, 256, 3)",4783359853,14966320
ShuffleNet2.0-v2,"(1, 299, 299, 3)",6899542869,14966320
ShuffleNet2.0-v2,"(1, 320, 320, 3)",7456088557,14966320
ShuffleNet2.0-v2,"(1, 331, 331, 3)",8401535925,14966320
ShuffleNet2.0-v2,"(1, 448, 448, 3)",14583365101,14966320
ShuffleNet2.0-v2,"(1, 480, 480, 3)",16736396557,14966320
ShuffleNet2.0-v2,"(1, 568, 568, 3)",23891851853,14966320
ShuffleNet2.0-v2,"(1, 600, 600, 3)",26627939181,14966320
ShuffleNet2.0-v2,"(1, 800, 800, 3)",46433382157,14966320
ShuffleNet2.0-v2,"(1, 896, 896, 3)",58237933933,14966320
ShuffleNet2.0-v2,"(1, 1024, 1024, 3)",76056125293,14966320
ShuffleNet2.0-v2,"(1, 1200, 1200, 3)",105102600317,14966320
ShuffleNet2.0-v2,"(1, 1600, 1600, 3)",185638002157,14966320
ShuffleNet2.0-v2,"(1, 1792, 1792, 3)",232856209261,14966320
ShuffleNet2.0-v2,"(1, 2400, 2400, 3)",417645702157,14966320
Inception-v3,"(1, 75, 75, 3)",455628875,23851784
Inception-v3,"(1, 112, 112, 3)",1126834187,23851784
Inception-v3,"(1, 128, 128, 3)",1516266859,23851784
Inception-v3,"(1, 150, 150, 3)",2189719275,23851784
Xception,"(1, 28, 28, 3)",208439947,22910480
Xception,"(1, 32, 32, 3)",226336347,22910480
Xception,"(1, 56, 56, 3)",722219211,22910480
Xception,"(1, 64, 64, 3)",777110043,22910480
Xception,"(1, 75, 75, 3)",1173266907,22910480
Xception,"(1, 112, 112, 3)",2348166507,22910480
